,id,sentence,split,normalized,check
0,00e772616372,ভালো করার তাড়না থেকেই হয়তো কিছু বাজে ব্যবহারের ঘটনা ঘটে থাকবে।,train,ভালো করার তাড়না থেকেই হয়তো কিছু বাজে ব্যবহারের ঘটনা ঘটে থাকবে।,True
1,0119b2373f02,গোসল করলেই সব ঠিক হয়ে যাবে।,train,গোসল করলেই সব ঠিক হয়ে যাবে।,True
2,0045ac7bf782,জয়সিংহ ব্যথিত হইয়া চুপ করিয়া বসিয়া রহিলেন।,train,জয়সিংহ ব্যথিত হইয়া চুপ করিয়া বসিয়া রহিলেন।,True
3,09e81eb1ad94,"মনে কিছু নিবেন না, আপনার বার্ষিক আয় কতো?",train,"মনে কিছু নিবেন না, আপনার বার্ষিক আয় কতো?",True
4,02611c5966fe,"একসাথে পুরো প্রক্রিয়াটির মধ্যে ব্লক তৈরি, কাপড়ে প্রিন্টিং, ধোয়া ইত্যাদির মতো সতেরোটি পদক্ষেপ জড়িত।",valid,"একসাথে পুরো প্রক্রিয়াটির মধ্যে ব্লক তৈরি, কাপড়ে প্রিন্টিং, ধোয়া ইত্যাদির মতো সতেরোটি পদক্ষেপ জড়িত।",True
5,05d6b1f512f8,ভগবানকে দণ্ডের ভয়ে উপাসনা করা অতি নিম্নশ্রেণীর উপাসনা।,train,ভগবানকে দণ্ডের ভয়ে উপাসনা করা অতি নিম্নশ্রেণীর উপাসনা।,True
6,00c6c46da3bf,"উত্তরা এক্সপ্রেস পার্বতীপুর থেকে রাজশাহী যাওয়ার পথে জয়পুরহাট জেলা, বগুড়া জেলা, নওগাঁ জেলা ও নাটোর জেলাকে সংযুক্ত করে।",valid,"উত্তরা এক্সপ্রেস পার্বতীপুর থেকে রাজশাহী যাওয়ার পথে জয়পুরহাট জেলা, বগুড়া জেলা, নওগাঁ জেলা ও নাটোর জেলাকে সংযুক্ত করে।",True
7,04dc32797371,তাদের অন্তর্ধান পৃথিবীর সর্বকালের রহস্যের মধ্যে একটি।,valid,তাদের অন্তর্ধান পৃথিবীর সর্বকালের রহস্যের মধ্যে একটি।,True
8,020b92f6174e,সত্যজিৎ রায়ের অমর সৃষ্টি কাল্পনিক গোয়েন্দা চরিত্র প্রদোষ চন্দ্র মিত্র ওরফে ফেলুদা।,train,সত্যজিৎ রায়ের অমর সৃষ্টি কাল্পনিক গোয়েন্দা চরিত্র প্রদোষ চন্দ্র মিত্র ওরফে ফেলুদা।,True
9,0c1c7e332824,প্রত্যেক বিশুদ্ধ পদার্থের আণবিক ভর একটি ভৌত ধর্ম।,valid,প্রত্যেক বিশুদ্ধ পদার্থের আণবিক ভর একটি ভৌত ধর্ম।,True
